,entity,author_name,overall_polarity
5000,калквенс calquence акалабрутиниб,Никита Никитин,Neutral
5001,описание показа,Никита Никитин,Neutral
5002,калквенс calquence акалабрутиниб,AndreySmoke,Neutral
5003,описание показа,AndreySmoke,Neutral
5004,калквенс calquence акалабрутиниб,Сергей Ворон,Neutral
5005,описание показа,Сергей Ворон,Neutral
5006,калквенс calquence акалабрутиниб,Олег,Neutral
5007,описание показа,Олег,Neutral
5008,калквенс calquence акалабрутиниб,Serhii Ryzhenko,Neutral
5009,описание показа,Serhii Ryzhenko,Neutral
5010,калквенс calquence акалабрутиниб,алексуй иванов,Neutral
5011,описание показа,алексуй иванов,Neutral
5012,калквенс calquence акалабрутиниб,sf srfsr,Neutral
5013,описание показа,sf srfsr,Neutral
5014,калквенс calquence акалабрутиниб,hjnvb bgngh,Neutral
5015,описание показа,hjnvb bgngh,Neutral
5016,калквенс calquence акалабрутиниб,Catherine Lain,Neutral
5017,описание показа,Catherine Lain,Neutral
5018,калквенс calquence акалабрутиниб,Андрей Гаркин,Neutral
5019,описание показа,Андрей Гаркин,Neutral
5020,калквенс calquence акалабрутиниб,Olenka,Neutral
5021,описание показа,Olenka,Neutral
5022,калквенс calquence акалабрутиниб,aman zhaman,Neutral
5023,описание показа,aman zhaman,Neutral
5024,калквенс calquence акалабрутиниб,Nikole Aniston,Neutral
5025,описание показа,Nikole Aniston,Neutral
5026,калквенс calquence акалабрутиниб,Ксюша Алещенко,Neutral
5027,описание показа,Ксюша Алещенко,Neutral
5028,калквенс calquence акалабрутиниб,Андрей голубков,Neutral
5029,описание показа,Андрей голубков,Neutral
5030,калквенс calquence акалабрутиниб,Egor Pluse,Neutral
5031,описание показа,Egor Pluse,Neutral
5032,калквенс calquence акалабрутиниб,Лада Мартова,Neutral
5033,описание показа,Лада Мартова,Neutral
5034,калквенс calquence акалабрутиниб,Нина Петренкова,Neutral
5035,описание показа,Нина Петренкова,Neutral
5036,калквенс calquence акалабрутиниб,Sobat_rere,Neutral
5037,описание показа,Sobat_rere,Neutral
5038,калквенс calquence акалабрутиниб,Julia Shocinx,Neutral
5039,описание показа,Julia Shocinx,Neutral
5040,калквенс calquence акалабрутиниб,лена блинова,Neutral
5041,описание показа,лена блинова,Neutral
5042,калквенс calquence акалабрутиниб,Никита Калачев,Neutral
5043,описание показа,Никита Калачев,Neutral
5044,калквенс calquence акалабрутиниб,дима,Neutral
5045,описание показа,дима,Neutral
5046,калквенс calquence акалабрутиниб,Ольга Абрамовская,Neutral
5047,описание показа,Ольга Абрамовская,Neutral
5048,калквенс calquence акалабрутиниб,Эд,Neutral
5049,описание показа,Эд,Neutral
5050,калквенс calquence акалабрутиниб,Синопская Варвара,Neutral
5051,описание показа,Синопская Варвара,Neutral
5052,калквенс calquence акалабрутиниб,Светлана Дмитриева,Neutral
5053,описание показа,Светлана Дмитриева,Neutral
5054,калквенс calquence акалабрутиниб,Сергей Кузнецов,Neutral
5055,описание показа,Сергей Кузнецов,Neutral
5056,калквенс calquence акалабрутиниб,Magnify,Neutral
5057,описание показа,Magnify,Neutral
5058,калквенс calquence акалабрутиниб,Madin Hadif,Neutral
5059,описание показа,Madin Hadif,Neutral
5060,калквенс calquence акалабрутиниб,shine lylz,Neutral
5061,описание показа,shine lylz,Neutral
5062,калквенс calquence акалабрутиниб,Sasha Motychko,Neutral
5063,описание показа,Sasha Motychko,Neutral
5064,калквенс calquence акалабрутиниб,The Godfather Quotes,Neutral
5065,описание показа,The Godfather Quotes,Neutral
5066,калквенс calquence акалабрутиниб,Галина Савчук,Neutral
5067,описание показа,Галина Савчук,Neutral
5068,калквенс calquence акалабрутиниб,Елена Обрамова,Neutral
5069,описание показа,Елена Обрамова,Neutral
5070,калквенс calquence акалабрутиниб,Иуан Грозный,Neutral
5071,описание показа,Иуан Грозный,Neutral
5072,калквенс calquence акалабрутиниб,Fylhtq,Neutral
5073,описание показа,Fylhtq,Neutral
5074,калквенс calquence акалабрутиниб,Ренат Ахметзянов,Neutral
5075,описание показа,Ренат Ахметзянов,Neutral
5076,калквенс calquence акалабрутиниб,Коля Мороз,Neutral
5077,описание показа,Коля Мороз,Neutral
5078,калквенс calquence акалабрутиниб,Коля Бобик,Neutral
5079,описание показа,Коля Бобик,Neutral
5080,калквенс calquence акалабрутиниб,solomin,Neutral
5081,описание показа,solomin,Neutral
5082,калквенс calquence акалабрутиниб,Aton Anikovich,Neutral
5083,описание показа,Aton Anikovich,Neutral
5084,калквенс calquence акалабрутиниб,Андрей Яом@нТик,Neutral
5085,описание показа,Андрей Яом@нТик,Neutral
5086,калквенс calquence акалабрутиниб,J.Kndel,Neutral
5087,описание показа,J.Kndel,Neutral
5088,калквенс calquence акалабрутиниб,Happy Unicorn🦄,compound
5089,описание показа,Happy Unicorn🦄,compound
5090,калквенс calquence акалабрутиниб,∆,Neutral
5091,описание показа,∆,Neutral
5092,калквенс calquence акалабрутиниб,123ewq21,Neutral
5093,описание показа,123ewq21,Neutral
5094,калквенс calquence акалабрутиниб,Александр Ануфриев-Салыга,Neutral
5095,описание показа,Александр Ануфриев-Салыга,Neutral
5096,калквенс calquence акалабрутиниб,OLGA,Neutral
5097,описание показа,OLGA,Neutral
5098,калквенс calquence акалабрутиниб,neon_clovds,Neutral
5099,описание показа,neon_clovds,Neutral
5100,калквенс calquence акалабрутиниб,Данила Бурмистров,Neutral
5101,описание показа,Данила Бурмистров,Neutral
5102,калквенс calquence акалабрутиниб,oleg,Neutral
5103,описание показа,oleg,Neutral
5104,калквенс calquence акалабрутиниб,Андрей Кузнецов,Neutral
5105,описание показа,Андрей Кузнецов,Neutral
5106,калквенс calquence акалабрутиниб,Nik Romashkinn,Neutral
5107,описание показа,Nik Romashkinn,Neutral
5108,калквенс calquence акалабрутиниб,Electronika-Rostov,Neutral
5109,описание показа,Electronika-Rostov,Neutral
5110,bmo abbv,dough,Neutral
5111,mavyret,dough,Neutral
5112,imbruvica,dough,Neutral
5113,калквенс calquence акалабрутиниб,afaf,Neutral
5114,описание показа,afaf,Neutral
5115,калквенс calquence акалабрутиниб,Онищук Руслан,Neutral
5116,описание показа,Онищук Руслан,Neutral
5117,калквенс calquence акалабрутиниб,мирон,Neutral
5118,описание показа,мирон,Neutral
5119,калквенс calquence акалабрутиниб,Enedin,Neutral
5120,описание показа,Enedin,Neutral
5121,калквенс calquence акалабрутиниб,Алексей Старков,Neutral
5122,описание показа,Алексей Старков,Neutral
5123,калквенс calquence акалабрутиниб,Артем Кононов,Neutral
5124,описание показа,Артем Кононов,Neutral
5125,калквенс calquence акалабрутиниб,Валерия Кудрявцева,Neutral
5126,описание показа,Валерия Кудрявцева,Neutral
5127,калквенс calquence акалабрутиниб,Ilona Vojnich,Neutral
5128,описание показа,Ilona Vojnich,Neutral
5129,калквенс calquence акалабрутиниб,Андрей Задорожный,Neutral
5130,описание показа,Андрей Задорожный,Neutral
5131,калквенс calquence акалабрутиниб,Trema Erema,Neutral
5132,описание показа,Trema Erema,Neutral
5133,fda,Colorectal Cancer Charity,Negative
5134,калквенс calquence акалабрутиниб,Александр Гусарук,Neutral
5135,описание показа,Александр Гусарук,Neutral
5136,калквенс calquence акалабрутиниб,Alice Cooper,Neutral
5137,описание показа,Alice Cooper,Neutral
5138,калквенс calquence акалабрутиниб,dfgthfhjjgyjyg,Neutral
5139,описание показа,dfgthfhjjgyjyg,Neutral
5140,калквенс calquence акалабрутиниб,Алекс,Neutral
5141,описание показа,Алекс,Neutral
5142,калквенс calquence акалабрутиниб,MankinMikhail,Neutral
5143,описание показа,MankinMikhail,Neutral
5144,калквенс calquence акалабрутиниб,gjdscghktsngyuc,Neutral
5145,описание показа,gjdscghktsngyuc,Neutral
5146,калквенс calquence акалабрутиниб,AnnaGrigorenko,Neutral
5147,описание показа,AnnaGrigorenko,Neutral
5148,калквенс calquence акалабрутиниб,Capt Nikolskiy,Neutral
5149,описание показа,Capt Nikolskiy,Neutral
5150,калквенс calquence акалабрутиниб,ОЛЬГА  САЛТАНОВА,Neutral
5151,описание показа,ОЛЬГА  САЛТАНОВА,Neutral
5152,2017,Sylvia Joyner,Neutral
5153,hopa18,Medscape Education,Neutral
5154,md,OncLive.com,Neutral
5155,lymsm,OncLive.com,Neutral
5156,2018,Drug Delivery News,Neutral
5157,14022018,Drug Delivery News,Neutral
5158,1500,Drug Delivery News,Neutral
5159,dr neil kay,CLL Ireland,Neutral
5160,dr neil kay,Mayo Clinic Cancer Center,Negative
5161,dr kay,OncLive.com,Neutral
5162,tiansterzhang,Sumanta Pal,Neutral
5163,richard,CLL Society Inc.,Neutral
5164,2,CLL Society Inc.,Neutral
5165,4,ドクターズゲート,Neutral
5166,acalabrutinib併用は未治療 再発白血病に安全かつ有効,海外がん医療情報リファレンス,Neutral
5167,jerry agree,Cancer Medicine,Negative
5168,michaelwangmd s,Cancer Medicine,Negative
5169,jerry,Cancer Medicine,Negative
5170,under a year,Cancer Medicine,Negative
5171,acalabrutinib btk,FabriceAndre,Neutral
5172,brian,OncLive.com,Neutral
5173,hill md phd,OncLive.com,Neutral
5174,2,"Mike Thompson, MD, PhD, FASCO",Neutral
5175,196,"Mike Thompson, MD, PhD, FASCO",Neutral
5176,60,"Mike Thompson, MD, PhD, FASCO",Neutral
5177,2 2020,"Mike Thompson, MD, PhD, FASCO",Neutral
5178,watch andregoymd,OncLive.com,Neutral
5179,acalabrutinib acp,"Mike Thompson, MD, PhD, FASCO",Neutral
5180,1 28 16,"Mike Thompson, MD, PhD, FASCO",Neutral
5181,al nejm cllsm,"Mike Thompson, MD, PhD, FASCO",Neutral
5182,nct02029443,"Mike Thompson, MD, PhD, FASCO",Neutral
5183,004,The Lancet,Neutral
5184,004,Lymphoma Hub,Neutral
5185,manteau l,Ligue contre le cancer - comité 58,Neutral
5186,un,Ligue contre le cancer - comité 58,Neutral
5187,2,The Lancet,Neutral
5188,this week,The Lancet,Neutral
5189,2,Daniel Ernst,Neutral
5190,004,Devona Williams,Neutral
5191,2,Devona Williams,Neutral
5192,9,Leukemia Research Foundation,Neutral
5193,10,Leukemia Research Foundation,Neutral
5194,14,Kernteam Economie,Neutral
5195,acalabrutinib acp,Anthony M Crasto DR.,Neutral
5196,196,Anthony M Crasto DR.,Neutral
5197,أكالابروتينيب,Anthony M Crasto DR.,Neutral
5198,9,Lymphoma News Today,Neutral
5199,10,Lymphoma News Today,Neutral
5200,friday,Pharmacy News & Research,Neutral
5201,4 percent,Pharmacy News & Research,Neutral
5202,the fourth quarter to,Pharmacy News & Research,Neutral
5203,5 49 billion,Pharmacy News & Research,Neutral
5204,friday,Women's Health News,Neutral
5205,4 percent,Women's Health News,Neutral
5206,the fourth quarter to,Women's Health News,Neutral
5207,5 49 billion,Women's Health News,Neutral
5208,friday,Cancer News,Negative
5209,4 percent,Cancer News,Negative
5210,the fourth quarter to,Cancer News,Negative
5211,5 49 billion,Cancer News,Negative
5212,أكالابروتينيب 阿可替尼,Anthony M Crasto DR.,Neutral
5213,via amcrasto,Anthony M Crasto DR.,Neutral
5214,14 260,Alexis Rodríguez,Neutral
5215,barrientos,OncLive.com,Neutral
5216,cll,Oncology Tube,Neutral
5217,9,BioNews,Neutral
5218,10,BioNews,Neutral
5219,fda,Sheila Mayers,Neutral
5220,fda,National Cancer Institute,Negative
5221,el 31 de octubre la,NCI en español,Neutral
5222,fda,NCI en español,Neutral
5223,para el,NCI en español,Neutral
5224,aprenda,NCI en español,Neutral
5225,la aprobación,NCI en español,Neutral
5226,2017,"dtw Research, Inc",Neutral
5227,obinutuzumab,NACDA Program on Aging,Neutral
5228,2017,NACDA Program on Aging,Neutral
5229,432,NACDA Program on Aging,Neutral
5230,aprobación de la fda,Vive mas,Neutral
5231,de células del manto,Vive mas,Neutral
5232,498,Lymphoma Hub,Neutral
5233,lymsm cll,Lymphoma Hub,Neutral
5234,432,Lymphoma Hub,Neutral
5235,risulta molto efficace,I Malati Invisibili,Neutral
5236,sll,PANNA SHARMA,Neutral
5237,1 2 134,PANNA SHARMA,Neutral
5238,87,PANNA SHARMA,Neutral
5239,93,PANNA SHARMA,Neutral
5240,the food and drug administration,GRACE,Positive
5241,at least one,GRACE,Positive
5242,6 dr,OncLive.com,Neutral
5243,3111,OncLive.com,Neutral
5244,7,OncLive.com,Neutral
5245,nhl,Blood Advances,Neutral
5246,004,ALI ALAHMARI.,Neutral
5247,2,ALI ALAHMARI.,Neutral
5248,wang et al,Graham Collins,Neutral
5249,81,Graham Collins,Neutral
5250,12mo,Graham Collins,Neutral
5251,67,Graham Collins,Neutral
5252,124,Graham Collins,Neutral
5253,fda,Oncology Times,Neutral
5254,fda,Sandy Pond GCP,Neutral
5255,483,Sandy Pond GCP,Neutral
5256,lawrence kaplan md,OncLive SOSS,Neutral
5257,2017,"Fatih Uckun, M.D.",Neutral
5258,ash17 oral,Lymphoma Hub,Neutral
5259,155,Lymphoma Hub,Neutral
5260,004,Silver Valley Doctor,Neutral
5261,004,MHC,Neutral
5262,wang lymsm,OncLive.com,Neutral
5263,at least one,NCICancerTrials,Neutral
5264,nhl,Philip McCarthy,Neutral
5265,ash17 hematology,The ASCO Post,Neutral
5266,fda,The Purple Society,Neutral
5267,004,Guillermo Sanz,Neutral
5268,2,Guillermo Sanz,Neutral
5269,sehh_es,Guillermo Sanz,Neutral
5270,second,AACR Foundation,Neutral
5271,fda,AACR Foundation,Neutral
5272,second,Michael Makris,Neutral
5273,second,Encore BioMed,Neutral
5274,zeneca pin,Lymphoma Canada,Neutral
5275,sunday,Lymphoma Canada,Neutral
5276,004,GoFIR,Neutral
5277,2,GoFIR,Neutral
5278,10 31 17,Lambda Kappa Sigma,Neutral
5279,fda,Lambda Kappa Sigma,Neutral
5280,at least one,Lambda Kappa Sigma,Neutral
5281,004,Cancer Library VCC,Negative
5282,2,Cancer Library VCC,Negative
5283,lancet,Mahmoud Aljurf,Neutral
5284,004,Mahmoud Aljurf,Neutral
5285,2,Mahmoud Aljurf,Neutral
5286,fda,Jim Graham,Neutral
5287,004,ARB,Neutral
5288,2,ARB,Neutral
5289,pat,AdisInsight,Neutral
5290,thelancet lymphomedumanteau acalabrutinib,Nicolas Zarjevski,Neutral
5291,dans,Nicolas Zarjevski,Neutral
5292,004,Nicolas Zarjevski,Neutral
5293,phase ii,OncLive.com,Neutral
5294,3,AstraZenecaUS,Neutral
5295,just 6 week,AstraZenecaUS,Neutral
5296,ash17,AstraZenecaUS,Neutral
5297,81,OncLive.com,Neutral
5298,40,OncLive.com,Neutral
5299,004,OncLive.com,Neutral
5300,1,Siti van der Meij,Neutral
5301,malaysia,Siti van der Meij,Neutral
5302,0 3,c lark,Neutral
5303,0 3,Open Outcrier,Neutral
5304,81,Briefing.com,Neutral
5305,40,Briefing.com,Neutral
5306,81,StockNews.com,Neutral
5307,40,StockNews.com,Neutral
5308,astrazenecas calquence visar,Investing.com Sverige 🇸🇪,Neutral
5309,syria,Doha Insight,Neutral
5310,zeneca pin,CheckRare,Neutral
5311,today,Business Wire-Health,Neutral
5312,ash17,"Caner Saygin, MD",Neutral
5313,1stl,Dr. Erel Joffe,Neutral
5314,10 15 cr,Dr. Erel Joffe,Neutral
5315,80,Dr. Erel Joffe,Neutral
5316,18,Dr. Erel Joffe,Neutral
5317,95,Dr. Erel Joffe,Neutral
5318,28,Dr. Erel Joffe,Neutral
5319,2ypfs 90,Dr. Erel Joffe,Neutral
5320,19 de novo 26,Dr. Erel Joffe,Neutral
5321,rr obino,Dr. Erel Joffe,Neutral
5322,50,Dr. Erel Joffe,Neutral
5323,2,NE Live,Neutral
5324,004,NE Live,Neutral
5325,155,NE Live,Neutral
5326,ash17 lymsm,NE Live,Neutral
5327,zeneca pin,CLL Ireland,Neutral
5328,today,CLL Ireland,Neutral
5329,zeneca pin,Health and Fitness Loveaffair,Neutral
5330,ash17 hematology,CancerTherapyAdvisor,Neutral
5331,100,Clarivate Cortellis,Neutral
5332,004,Clarivate Cortellis,Neutral
5333,81,Clarivate Cortellis,Neutral
5334,40,Clarivate Cortellis,Neutral
5335,dem,Giuseppe Michieli,Neutral
5336,81,Renal Cell Carcinoma,Neutral
5337,40,Renal Cell Carcinoma,Neutral
5338,81,Drug Delivery News,Neutral
5339,40,Drug Delivery News,Neutral
5340,ash17 acalabrutinib data,Zachary McLellan,Neutral
5341,004,Zachary McLellan,Neutral
5342,lungcancer news astrazenecas,Lung Cancer News,Negative
5343,81,Lung Cancer News,Negative
5344,40,Lung Cancer News,Negative
5345,cancer astrazenecas calquence,Cancer News,Negative
5346,81,Cancer News,Negative
5347,40,Cancer News,Negative
5348,cancer astrazenecas,Cancer News,Negative
5349,michael wang,Marek Trneny,Neutral
5350,1 3,Dr Katrina Farrell,Neutral
5351,40,Graham Collins,Neutral
5352,75,Graham Collins,Neutral
5353,30,Graham Collins,Neutral
5354,ash17 drmichaelwang,"Matthew Matasar, MD",Neutral
5355,ash17 drmichaelwang nice,"Matthew Matasar, MD",Neutral
5356,wang ash17 orr 81,Carla Casulo,Neutral
5357,40,Carla Casulo,Neutral
5358,mcl 40,Dr. Erel Joffe,Neutral
5359,40,Dr. Erel Joffe,Neutral
5360,124,Dr. Erel Joffe,Neutral
5361,2 20,Dr. Erel Joffe,Neutral
5362,2,Dr. Erel Joffe,Neutral
5363,1 2,Dr. Erel Joffe,Neutral
5364,30,Dr. Erel Joffe,Neutral
5365,004,"Matthew Matasar, MD",Neutral
5366,124,"Matthew Matasar, MD",Neutral
5367,2,"Matthew Matasar, MD",Neutral
5368,1,"Matthew Matasar, MD",Neutral
5369,zero,"Matthew Matasar, MD",Neutral
5370,wang,Ahmad Halwani,Neutral
5371,second,Ahmad Halwani,Neutral
5372,obat baru,Majalah Farmasetika,Neutral
5373,md phd,ColumbiaCancer,Neutral
5374,155,"Raul Cordoba, MD, PhD",Neutral
5375,004,"Raul Cordoba, MD, PhD",Neutral
5376,2017,Renal Cell Carcinoma,Neutral
5377,american,Renal Cell Carcinoma,Neutral
5378,hematology,Renal Cell Carcinoma,Neutral
5379,first,Renal Cell Carcinoma,Neutral
5380,us,Renal Cell Carcinoma,Neutral
5381,2017,Drug Delivery News,Neutral
5382,american,Drug Delivery News,Neutral
5383,hematology,Drug Delivery News,Neutral
5384,annual,Drug Delivery News,Neutral
5385,first,Drug Delivery News,Neutral
5386,us,Drug Delivery News,Neutral
5387,2017,Cancer News,Negative
5388,american,Cancer News,Negative
5389,hematology,Cancer News,Negative
5390,annual,Cancer News,Negative
5391,first,Cancer News,Negative
5392,us,Cancer News,Negative
5393,1st,San Francisco Business Times,Neutral
5394,us,Michael Dickinson,Neutral
5395,2,Michael Dickinson,Neutral
5396,004,Michael Dickinson,Neutral
5397,淋巴瘤新药加速获批,健康搬运工,Neutral
5398,用于治疗罹患套细胞淋巴瘤,健康搬运工,Neutral
5399,newmonographmonday,epocrates,Neutral
5400,cll,CancerWallonia,Neutral
5401,fda,The Hindu Patrika,Neutral
5402,11,"Mike Thompson, MD, PhD, FASCO",Neutral
5403,17,"Mike Thompson, MD, PhD, FASCO",Neutral
5404,ash17 michaelwangmd,Chan Cheah,Neutral
5405,2,Chan Cheah,Neutral
5406,81,Chan Cheah,Neutral
5407,40,Chan Cheah,Neutral
5408,12mo,Chan Cheah,Neutral
5409,72,Chan Cheah,Neutral
5410,1975,Past Daily,Neutral
5411,ash17 lymsm,Graham Collins,Neutral
5412,fda,Hlthnews,Neutral
5413,fda,Lymphoma News Today,Neutral
5414,jr brown,Dr.Alberto Mussetti,Neutral
5415,1stpostgraduatecllconference,Dr.Alberto Mussetti,Neutral
5416,acalabrutinib efficace,Giuseppe Giannini,Neutral
5417,fda,Vignesh Sekar,Neutral
5418,fda,Hematopoiesis News,Neutral
5419,w,Hematopoiesis News,Neutral
5420,fda,"Carol Evans, MD",Neutral
5421,fda,Cancer Health,Negative
5422,fda,OncologyNurseAdvisor,Neutral
5423,bmo,dough,Neutral
5424,5bn,dough,Neutral
5425,fda,Carolyn Thompson,Neutral
5426,the u s fda,OncologyNurseAdvisor,Neutral
5427,fda,Dean Celia,Neutral
5428,米fda mcl治療薬アカラブルチニブを承認 米食品医薬品局,ミクス編集部,Neutral
5429,fda,ミクス編集部,Neutral
5430,は10月31日,ミクス編集部,Neutral
5431,mcl治療薬アカラブルチニブを承認 米食品医薬品局,MEDWAVE,Neutral
5432,fda,MEDWAVE,Neutral
5433,は10月31日,MEDWAVE,Neutral
5434,fda,CancerConnect,Neutral
5435,fda,prnotamenoid,Neutral
5436,fda,ある人の呟き,Neutral
5437,fda,Salutedomani,Neutral
5438,fda,Pharma Journalist,Neutral
5439,tuesday october 31,Living Safely,Positive
5440,prexxartan zegerid,Living Safely,Positive
5441,the us food and drug administration,Kaup Pharmacy,Neutral
5442,fda,Kaup Pharmacy,Neutral
5443,the us food and drug administration,Bengal Rx,Neutral
5444,fda,Bengal Rx,Neutral
5445,the us food and drug administration,Churchill Pharmacy,Neutral
5446,fda,Churchill Pharmacy,Neutral
5447,the us food and drug administration,Phipps Pharmacy,Neutral
5448,fda,Phipps Pharmacy,Neutral
5449,fda,とれんどtopic,Neutral
5450,fda,eニュース - フリーライター/ブロガーのための記事ネタ（e通信社）,Neutral
5451,fda,ユリゴン＠相互フォロー支援,Neutral
5452,fda,各社配信プレスリリースまとめ,Neutral
5453,fda,Gilles Gallant,Positive
5454,fda,Derma News OK,Positive
5455,fda,Antonio Caperna,Neutral
5456,fda,saluteH24.com,Neutral
5457,retweet apotheker,Northeast Apotheek,Neutral
5458,fda,Northeast Apotheek,Neutral
5459,rt nieuws,Northeast Personeel,Neutral
5460,fda,Northeast Personeel,Neutral
5461,fda,PW,Neutral
5462,the us food and drug administration,CDS #10 Pharmacy,Neutral
5463,fda,CDS #10 Pharmacy,Neutral
5464,タイトルリスト 2017,MEDWAVE,Neutral
5465,11 07,MEDWAVE,Neutral
5466,the us food and drug administration,Medicine Shoppe 1822,Neutral
5467,fda,Medicine Shoppe 1822,Neutral
5468,fda,AJPB_Journal,Neutral
5469,fda,薬剤師ニュース配信くん,Neutral
5470,the us food and drug administration,Sullivan'sGifts,Neutral
5471,fda,Sullivan'sGifts,Neutral
5472,the us food and drug administration,Joseph Pharmacy,Neutral
5473,fda,Joseph Pharmacy,Neutral
5474,the us food and drug administration,Greenhill Pharmacy,Neutral
5475,fda,Greenhill Pharmacy,Neutral
5476,the us food and drug administration,Scott Pharmacy,Neutral
5477,fda,Scott Pharmacy,Neutral
5478,the us food and drug administration,Hartzells Pharmacy,Neutral
5479,fda,Hartzells Pharmacy,Neutral
5480,the us food and drug administration,Valley Pharmacy,Neutral
5481,fda,Valley Pharmacy,Neutral
5482,fda,The Galien Foundation,Neutral
5483,2nd,NatureRevClinOncol,Neutral
5484,10 31 17,"Mike Thompson, MD, PhD, FASCO",Neutral
5485,2l,"Mike Thompson, MD, PhD, FASCO",Neutral
5486,approvalswatch news acalabrutinib,medwireNews,Neutral
5487,fda,medwireNews,Neutral
5488,pharma news,Evaluate Pharma,Neutral
5489,3,Evaluate Pharma,Neutral
5490,fda,Evaluate Pharma,Neutral
5491,أحد,د. يوسف شمس الدين,Neutral
5492,fda,APRHIFAC,Neutral
5493,la aprobación acelerada de acalabrutinib,APRHIFAC,Neutral
5494,fda,DOCTOR MENDOZA CANCER NEWS,Negative
5495,zulassung,@INSIGHTHealth,Neutral
5496,behandlung von mantelzellenlymphomen bei erwachsenen,@INSIGHTHealth,Neutral
5497,再発難治性マントル細胞リンパ腫の新薬であるブルトンチロシンキナーゼ btk 阻害薬acalabrutinib,薬剤師ニュース配信くん,Neutral
5498,がん情報サイト オンコロ,薬剤師ニュース配信くん,Neutral
5499,several month,OncLive SOSS,Neutral
5500,3,ドクターズゲート,Neutral
5501,fda,M2-Interior.ru,Neutral
5502,fda,PharmaLeaders,Neutral
5503,fda,CancerWallonia,Neutral
5504,j s imbruvica,Advera Health,Neutral
5505,fda,RxSpark,Neutral
5506,fda,VHSPL,Neutral
5507,10 31,Rare Disease Report,Neutral
5508,tuesday,Rare Disease Report,Neutral
5509,fda,Rare Disease Report,Neutral
5510,abbv sue,Odi Bruckman,Neutral
5511,fda,UKiwiS,Neutral
5512,fda,CBPartners,Neutral
5513,fda,Heather Swift Morrison,Neutral
5514,fda,Margaret Walker,Neutral
5515,w,Margaret Walker,Neutral
5516,fda,MedFirst - MedComms,Neutral
5517,fda rt,European Pharmaceutical Review,Neutral
5518,fda,Fernando Medina,Neutral
5519,mantle zone,David Durand,Neutral
5520,mantle hücreli lenfoma,Galeri Haber,Neutral
5521,fda,Galeri Haber,Neutral
5522,fda,MyOncoPath,Neutral
5523,4,MyOncoPath,Neutral
5524,fda,Pharmacy News & Research,Neutral
5525,david salazarthe,Pharmacy News & Research,Neutral
5526,lungcancer news,Lung Cancer News,Negative
5527,david salazarthe,Lung Cancer News,Negative
5528,kanser,"Mustafa Özdoğan, MD",Neutral
5529,onkoloji hematolog,"Mustafa Özdoğan, MD",Neutral
5530,fda,"Mustafa Özdoğan, MD",Neutral
5531,fda,Amer Coll Clin Pharm,Neutral
5532,fda,Farmacia Nenna,Neutral
5533,fda,Treatment Scores,Neutral
5534,fda,1stOncology,Neutral
5535,fda,Lars Öhrström,Neutral
5536,för,Lars Öhrström,Neutral
5537,kemivarlden kemisamfundet,Lars Öhrström,Neutral
5538,la fda,Cristina Kroll,Neutral
5539,un,Cristina Kroll,Neutral
5540,nuevo oncológico de astrazeneca,Cristina Kroll,Neutral
5541,fda,Cristina Kroll,Neutral
5542,la fda,PharmaBiz,Neutral
5543,un,PharmaBiz,Neutral
5544,nuevo oncológico de astrazeneca,PharmaBiz,Neutral
5545,fda,PharmaBiz,Neutral
5546,fda,Развлекательный сайт UWDESHKI,Neutral
5547,this week,OncLive.com,Neutral
5548,die zulassung für calquence,APOTHEKE ADHOC,Neutral
5549,fda,dario pasqualini,Neutral
5550,imbruvica,Riya Verma,Neutral
5551,lymphomahttp,Dr. Dan Botha,Neutral
5552,drbotha,Dr. Dan Botha,Neutral
5553,fda,Pharma_Processes,Neutral
5554,fda,Digital Pharma,Neutral
5555,fda,balaji jegannathan,Neutral
5556,abbv s imbruvica,Jacob Bell,Neutral
5557,fda,Pharma Commons,Neutral
5558,fda,Encore BioMed,Neutral
5559,fda,Medical Microbiology,Neutral
5560,fda,"Lalit Leonard Sehgal, PhD",Neutral
5561,rel ref mcl,MDedge Hematology & Oncology,Neutral
5562,fda,SDBN,Neutral
5563,fda,Sonali Prusty,Neutral
5564,michaelwangmd lymsm,MD Anderson Cancer Center,Negative
5565,1st,Vicki Thompson,Neutral
5566,biologics inc,The Pharmaceutical Marketing Group,Neutral
5567,1st,John Stedman,Neutral
5568,fda,Digital-Ontology,Neutral
5569,j s imbruvica,buzz lightyear,Neutral
5570,healthday,Mona Mipiso,Neutral
5571,j s imbruvica,Carly Helfand,Neutral
5572,j s imbruvica,Martin JS Dyer,Neutral
5573,fda,Global Pharma News,Neutral
5574,fda,World Pharma News,Neutral
5575,us,UKiwiS,Neutral
5576,3,BioWorld,Neutral
5577,fda,Ethical Recruiters,Positive
5578,1st,SFBTRileyMcD,Neutral
5579,1st,Riley Gutiérrez McDermid,Neutral
5580,1st,Julian Chen,Neutral
5581,1st,Kim Gerhardt,Neutral
5582,imbruvica,Salil Kallianpur,Neutral
5583,yesterday,Dr. Andre Goy,Neutral
5584,adult w mantle cell lymphoma,Dr. Andre Goy,Neutral
5585,fda,LucidQuest,Neutral
5586,fda,OyeCricket.com,Neutral
5587,1st,Robert Robledo,Neutral
5588,fda,SSBMT الخلاياالجذعية,Neutral
5589,at least one,SSBMT الخلاياالجذعية,Neutral
5590,1st,Kursad Turksen,Neutral
5591,1st,San Francisco agent,Neutral
5592,1st,Ron Leuty,Neutral
